MR,H4,H27,u0_M,u0_R,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
47.978,49.377,0.0,21.0,21.0,29.0,14.136427408208066,54.0,21.697235829648633,7.0,14.166336762143297,39.0,11.0
47.978,49.377,0.0,37.0,37.0,13.0,27.85703766248871,45.0,20.978397934258673,52.0,1.164564403252616,8.0,52.0
47.978,49.377,0.0,4.0,4.0,46.0,20.580703003813223,90.0,16.065780185745748,48.0,13.353516810441025,66.0,34.0
47.978,49.377,0.0,36.0,36.0,14.0,31.060904646747154,73.0,17.00145074423966,68.0,1.9376446090131862,82.0,76.0
47.978,49.377,0.0,22.0,22.0,28.0,3.61318228103262,77.0,23.887377831877252,9.0,22.499439887090126,9.0,43.0
47.978,49.377,0.0,18.0,18.0,32.0,9.954981234685924,78.0,33.09168140816384,21.0,6.953337357150232,0.0,95.0
47.978,49.377,0.0,14.0,14.0,36.0,19.750572817459307,0.0,7.306350817234316,27.0,22.943076365306375,99.0,44.0
47.978,49.377,0.0,36.0,36.0,14.0,6.124783575518253,37.0,21.070899555432625,80.0,22.804316869049124,87.0,51.0
47.978,49.377,0.0,15.0,15.0,35.0,12.93586087127541,48.0,24.405795094036915,75.0,12.658344034687673,91.0,17.0
47.978,49.377,0.0,29.0,29.0,21.0,20.66158498268036,88.0,10.083958162147999,57.0,19.254456855171647,63.0,42.0
47.978,49.377,0.0,20.0,20.0,30.0,2.504039790452535,31.0,13.840119587131626,31.0,33.65584062241584,46.0,68.0
47.978,49.377,0.0,3.0,3.0,47.0,3.0835169041978063,58.0,1.303364209429128,0.0,45.61311888637307,19.0,3.0
47.978,49.377,0.0,34.0,34.0,16.0,0.4335380342849336,28.0,22.41448056952569,39.0,27.151981396189377,27.0,3.0
47.978,49.377,0.0,11.0,11.0,39.0,17.707908778242665,37.0,21.799678611516086,68.0,10.492412610241248,22.0,61.0
