MR,H4,H27,u0_R,u0_NR,u0_M,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
498.355,43.538,0.001,22.0,500.0,472.0,28.0,3.5823572540137807,99.0,30.175280638567845,8.0,16.242362107418376,35.0,22.0
498.355,43.538,0.001,21.0,500.0,471.0,29.0,15.179612495255089,91.0,13.465384959028704,46.0,21.355002545716207,35.0,23.0
498.355,43.538,0.001,37.0,500.0,487.0,13.0,27.076363643895398,93.0,1.1208840711288568,53.0,21.802752284975742,18.0,28.0
498.355,43.538,0.001,38.0,500.0,488.0,12.0,7.793580403075525,13.0,17.923998576723726,24.0,24.282421020200747,92.0,25.0
498.355,43.538,0.001,10.0,500.0,460.0,40.0,27.182115499178806,21.0,4.832444077769444,3.0,17.98544042305175,38.0,13.0
498.355,43.538,0.001,25.0,500.0,475.0,25.0,24.845020526510307,68.0,2.639288269242065,90.0,22.515691204247627,82.0,20.0
498.355,43.538,0.001,23.0,500.0,473.0,27.0,18.953583887391865,6.0,3.51076652243506,75.0,27.535649590173076,40.0,16.0
498.355,43.538,0.001,41.0,500.0,491.0,9.0,17.579307856310226,21.0,11.00274684207256,19.0,21.417945301617213,55.0,87.0
498.355,43.538,0.001,44.0,500.0,494.0,6.0,19.077810124688302,61.0,8.573412933364091,34.0,22.34877694194761,3.0,65.0
498.355,43.538,0.001,9.0,500.0,459.0,41.0,20.038923730564314,47.0,12.38438779227076,7.0,17.576688477164932,65.0,98.0
498.355,43.538,0.001,38.0,500.0,488.0,12.0,19.46026229671364,64.0,9.31926291315736,54.0,21.220474790129,71.0,54.0
498.355,43.538,0.001,25.0,500.0,475.0,25.0,11.190291931169737,87.0,5.554119062265231,85.0,33.25558900656503,18.0,29.0
498.355,43.538,0.001,26.0,500.0,476.0,24.0,17.238448102333347,17.0,11.148956639996266,19.0,21.612595257670385,40.0,30.0
